ID,Name,Address,Phone,SSN,AccountNumber,AccountBalance,CreditCard,CCLimit,CCBalance,UnsecuredLoanAccountNumber,UnsecuredLoanBalance,APR,UnsecuredLoanAmount
1114245,John,FL 32219,555-555-5555,241-23-1234,4.35E+15,20578,1.32E+15,4000,1715,4567890123456789-0,9045,0.0541,12000
1114488,Mary,TX 75006,585-585-5556,241-23-4567,9.35E+15,18202,3.32E+15,4000,2216,4567890123456789-1,8945,0.0345,5000
1114255,Ann,NY 11102,598-235-5557,241-23-7900,9.95E+15,9389,3.32E+15,4000,1081,,,,
1115106,Joe,GA 31721,555-555-5558,241-23-34564,1.23E+15,17260,3.63E+15,3000,569,4567890123456789-3,3450,0.045,8000
1115890,Jan,FL 33461,555-555-5559,241-23-14566,2.35E+15,992,6.32E+15,4000,351,4567890123456789-4,8462,0.05,9000
1114180,Johny,CA 95035,555-555-5560,241-23-17899,1.81E+15,12451,3.83E+15,4000,2122,,,,
1114124,Ted,MI 48430,555-555-5561,241-23-91232,9.26E+15,5749,3.66E+15,3000,2429,4567890123456789-6,8729,0.045,11000
1113211,Wynne,MS 39056,461-121-5561,241-23-24565,8.87E+15,23150,8.87E+15,4000,299,4567890123456789-7,5237,0.05,8000
1112443,Anders,CA 94509,461-131-5569,241-23-87898,7.71E+15,29083,7.73E+15,3000,1317,4567890123456789-8,7237,0.05,9000
1112618,Andrew,FL 34743,261-121-5563,241-23-91231,2.35E+15,14065,6.32E+15,3000,1777,4567890123456789-9,2234,0.03,10000
1111987,Paul,GA 31721,361-115-5564,241-23-54574,4.43E+15,32345,3.63E+15,3000,1731,,,,
1113072,Jenny,NY 11514,461-131-5565,241-23-37891,9.35E+15,13912,3.32E+15,2000,520,,,,
1112733,Lars,WA 98034,461-131-5566,241-23-41230,8.11E+15,3708,8.33E+15,3000,2015,,,,
1112115,Pette,NJ 8527,961-195-5567,241-23-44563,9.26E+15,9347,3.66E+15,3000,1437,,,,
1112705,Jack,CA 90716,161-115-5568,241-23-97896,9.47E+15,14335,8.88E+15,4000,3472,,,,
1113116,Nicole,CT 6242,461-131-5565,241-23-51229,7.73E+15,24699,7.73E+15,4000,444,,,,
1112181,Suzy,FL 34481,861-165-5566,241-23-54562,2.35E+15,14869,6.32E+15,3000,311,,,,
1113153,Mary,GA 30345,461-131-5567,241-23-37895,7.12E+15,5143,7.37E+15,3000,2614,,,,
1112011,Marlie,SC 29360,461-131-5568,241-23-61228,4.52E+15,7964,1.54E+15,3000,2652,,,,
