ID,Name,Address,Phone,SSN,AccountNumber,AccountBalance,CreditCard,CCLimit,CCBalance,UnsecuredLoanAccountNumber,UnsecuredLoanBalance,APR,UnsecuredLoanAmount
1115106,Joe,GA 31721,555-555-5558,241-23-34564,1.23E+15,18969,3.63E+15,3000,253,4567890123456789-0,9045,0.0541,12000
1111987,Paul,GA 31721,361-115-5564,241-23-54574,4.43E+15,32345,3.63E+15,3000,1384,4567890123456789-1,8945,0.0345,5000
1112705,Jack,CA 90716,161-115-5568,241-23-97896,9.47E+15,13568,8.88E+15,4000,3472,4567890123456789-2,885,0.045,2000
1111995,Harry,CA 90716,271-415-5568,241-23-54574,8.66E+15,26297,8.66E+15,4000,308,4567890123456789-3,3450,0.045,8000
1112540,Ali,NC 27408,325-555-5577,241-23-34564,1.10E+15,1258,3.04E+15,4000,2000,4567890123456789-4,8462,0.05,9000
1114140,Linda,NC 27408,161-115-5568,241-23-11225,3.64E+15,18633,3.61E+15,4000,2327,4567890123456789-5,783,0.04,10000
1112873,Samuel,PA 19382,555-555-5583,241-23-94558,3.41E+15,4056,3.13E+15,3000,1121,4567890123456789-6,8729,0.045,11000
1113204,Jonathan,DE 19977,555-555-5584,241-23-97891,3.10E+15,27073,3.04E+15,2000,2372,4567890123456789-7,5237,0.05,8000
1112635,Rosy,FL 33160,555-555-5585,241-43-57895,8.67E+15,6627,8.67E+15,3000,1868,4567890123456789-8,7237,0.05,9000
1114142,Matt,NC 27408,162-125-5568,241-25-45225,3.64E+15,1963,3.61E+15,3000,327,4567890123456789-9,2234,0.03,10000
